smiles,albuterol-similarity
[O-][N-]C(P)NC[O+](S)c1pcc(S)c([N-]S)p1,1.0
[O-][N-]C(P)NC[O+](S)c1pcc(S)c([N-]O)p1,1.0
[O-][N-]C(P)NC[O+](S)c1pcc(S)c(PS)p1,1.0
[O-][N-]C(P)NC[O+](S)c1pcc(S)c(PO)p1,1.0
[O-][N-]C(P)NC[O+](S)c1pcc(S)c(CS)p1,1.0
[O-][N-]C(P)NC[O+](S)c1pcc(S)c(CO)p1,1.0
[O-][N-]C(P)NC[O+](S)c1pcc(O)c([N-]S)p1,1.0
[O-][N-]C(P)NC[O+](S)c1pcc(O)c([N-]O)p1,1.0
[O-][N-]C(P)NC[O+](S)c1pcc(O)c(PS)p1,1.0
[O-][N-]C(P)NC[O+](S)c1pcc(O)c(PO)p1,1.0
[O-][N-]C(P)NC[O+](S)c1pcc(O)c(CS)p1,1.0
[O-][N-]C(P)NC[O+](S)c1pcc(O)c(CO)p1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(S)c([N-]S)p1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(S)c([N-]S)c1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(S)c([N-]S)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(S)c([N-]O)p1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(S)c([N-]O)c1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(S)c([N-]O)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(S)c(PS)p1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(S)c(PS)c1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(S)c(PS)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(S)c(PO)p1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(S)c(PO)c1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(S)c(PO)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(S)c(CS)p1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(S)c(CS)c1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(S)c(CS)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(S)c(CO)p1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(S)c(CO)c1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(S)c(CO)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(O)c([N-]S)p1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(O)c([N-]S)c1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(O)c([N-]S)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(O)c([N-]O)p1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(O)c([N-]O)c1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(O)c([N-]O)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(O)c(PS)p1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(O)c(PS)c1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(O)c(PS)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(O)c(PO)p1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(O)c(PO)c1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(O)c(PO)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(O)c(CS)p1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(O)c(CS)c1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(O)c(CS)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(O)c(CO)p1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(O)c(CO)c1,1.0
[O-][N-]C(P)NC[O+](S)c1cpc(O)c(CO)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(S)c([N-]S)p1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(S)c([N-]S)c1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(S)c([N-]S)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(S)c([N-]O)p1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(S)c([N-]O)c1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(S)c([N-]O)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(S)c(PS)p1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(S)c(PS)c1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(S)c(PS)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(S)c(PO)p1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(S)c(PO)c1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(S)c(PO)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(S)c(CS)p1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(S)c(CS)c1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(S)c(CS)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(S)c(CO)p1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(S)c(CO)c1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(O)c([N-]S)p1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(O)c([N-]S)c1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(O)c([N-]S)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(O)c([N-]O)p1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(O)c([N-]O)c1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(O)c([N-]O)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(O)c(PS)p1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(O)c(PS)c1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(O)c(PS)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(O)c(PO)p1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(O)c(PO)c1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(O)c(PO)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(O)c(CS)c1,1.0
