smiles,c11h24
C[C+](C)(C)CCC[C+](C)(C)C,1.0
CC[C+](CC)(CC)CC(C)C,1.0
CC[C+](CC)(CC)C(C)(C)C,1.0
CC[C+](C)(CC)C[C+](C)(C)C,1.0
CC[C+](C)(CC)CC(C)(C)C,1.0
CC[C+](C)(CC)C(C)C(C)C,1.0
CC[C+](C)(CC(C)C)C(C)C,1.0
CC[C+](C)(C)[C+](C)(C)C(C)C,1.0
CC[C+](C)(C)C[C+](C)(C)CC,1.0
CC[C+](C)(C)CC[C+](C)(C)C,1.0
CC[C+](C)(C)CCCC(C)C,1.0
CC[C+](C)(C)CCC(C)(C)C,1.0
CC[C+](C)(C)CC(C)C(C)C,1.0
CC[C+](C)(C)C(C)CC(C)C,1.0
CC[C+](C)(C(C)C)[C+](C)(C)C,1.0
CCC[C+](C)(CCC)C(C)C,1.0
CCC[C+](C)(CC)[C+](C)(C)C,1.0
CCC[C+](C)(CC)CC(C)C,1.0
CCC[C+](C)(CC)C(C)CC,1.0
CCC[C+](C)(CC)C(C)(C)C,1.0
CCC[C+](C)(C)CCC(C)C,1.0
CCC[C+](C)(C)CC(C)(C)C,1.0
CCC[C+](C)(C)C(CC)CC,1.0
CCC[C+](C)(C)C(C)C(C)C,1.0
CCC[C+](C)(C(C)C)C(C)C,1.0
CCCC[C+](C)(CC)CCC,1.0
CCCC[C+](C)(CC)C(C)C,1.0
CCCC[C+](C)(C)CC(C)C,1.0
CCCC[C+](C)(C)C(C)CC,1.0
CCCC[C+](C)(C)C(C)(C)C,1.0
CCCCC[C+](C)(C)CCC,1.0
CCCCC[C+](C)(C)C(C)C,1.0
CCCCCC[C+](C)(C)CC,1.0
CCCCCCC[C+](C)(C)C,1.0
CCCCCCCCCCC,1.0
CCCCCCCCC(C)C,1.0
CCCCCCCC(C)CC,1.0
CCCCCCCC(C)(C)C,1.0
CCCCCCC(CC)CC,1.0
CCCCCCC(C)CCC,1.0
CCCCCCC(C)C(C)C,1.0
CCCCCCC(C)(C)CC,1.0
CCCCCC(CC)CCC,1.0
CCCCCC(CC)C(C)C,1.0
CCCCCC(C)CCCC,1.0
CCCCCC(C)CC(C)C,1.0
CCCCCC(C)C(C)CC,1.0
CCCCCC(C)C(C)(C)C,1.0
CCCCCC(C)(CC)CC,1.0
CCCCCC(C)(C)CCC,1.0
CCCCCC(C)(C)C(C)C,1.0
CCCCC(CCC)CCC,1.0
CCCCC(CCC)C(C)C,1.0
CCCCC(CC)CCCC,1.0
CCCCC(CC)CC(C)C,1.0
CCCCC(CC)C(C)CC,1.0
CCCCC(CC)C(C)(C)C,1.0
CCCCC(CC)(CC)CC,1.0
CCCCC(C)C[C+](C)(C)C,1.0
CCCCC(C)CCC(C)C,1.0
CCCCC(C)CC(C)CC,1.0
CCCCC(C)CC(C)(C)C,1.0
CCCCC(C)C(CC)CC,1.0
CCCCC(C)C(C)CCC,1.0
CCCCC(C)C(C)C(C)C,1.0
CCCCC(C)C(C)(C)CC,1.0
CCCCC(C)(CC)CCC,1.0
CCCCC(C)(CC)C(C)C,1.0
CCCCC(C)(C)CCCC,1.0
CCCCC(C)(C)CC(C)C,1.0
CCCCC(C)(C)C(C)CC,1.0
CCCCC(C)(C)C(C)(C)C,1.0
CCCCC(C(C)C)C(C)C,1.0
CCCC(CCC)CC(C)C,1.0
CCCC(CCC)C(C)CC,1.0
CCCC(CCC)C(C)(C)C,1.0
CCCC(CC)[C+](C)(C)CC,1.0
CCCC(CC)CCC(C)C,1.0
CCCC(CC)CC(C)CC,1.0
CCCC(CC)CC(C)(C)C,1.0
CCCC(CC)C(CC)CC,1.0
CCCC(CC)C(C)C(C)C,1.0
CCCC(CC)C(C)(C)CC,1.0
CCCC(CC)(CC)CCC,1.0
CCCC(CC)(CC)C(C)C,1.0
CCCC(CC(C)C)C(C)C,1.0
CCCC(C)[C+](C)(C)C(C)C,1.0
CCCC(C)CCCC(C)C,1.0
CCCC(C)CCC(C)CC,1.0
CCCC(C)CCC(C)(C)C,1.0
CCCC(C)CC(CC)CC,1.0
CCCC(C)CC(C)CCC,1.0
CCCC(C)CC(C)C(C)C,1.0
CCCC(C)CC(C)(C)CC,1.0
CCCC(C)C(CC)CCC,1.0
CCCC(C)C(CC)C(C)C,1.0
