smiles,c9h10n2o2pf2cl
Oc1cc(C[PH]2=C(F)C(Cl)C=NN2)c(CF)o1,1.0
Oc1cc(C[PH]2=C(Cl)C(F)C=NN2)c(CF)o1,1.0
OCNP=CC1=C(Cl)CC(F)=C1N=CC(O)F,1.0
OCNP=C=C=C(Cl)CC(F)=CN=CC(O)F,1.0
OCNC(O)=NC1=CC=PCC1=C(Cl)C(F)F,1.0
OCNC(O)=NC1=C(Cl)C=PCC(F)=CC1F,1.0
OCNC(O)=NC1=C(Cl)C(F)=CPC(CF)=C1,1.0
OCC(F)=C(C=C=PNN=COCF)C=CCl,1.0
OCC(F)=C(C=C=PNN=CCOF)C=CCl,1.0
OCC(F)=C(C=C=PNN=CC(O)F)C=CCl,1.0
OC=NN[PH]1=CC2=CC(F)=C(Cl)C2C1OCF,1.0
OC=NN[PH]1=CC2=CC(F)=C(Cl)C2C1COF,1.0
OC=NN[PH]1=CC2=CC(F)=C(Cl)C2C1C(O)F,1.0
OC=NN[PH]1=CC2=C(F)OC(Cl)=CC2C1CF,1.0
OC=NN[PH]1=CC2=C(F)CC(Cl)=C2C1OCF,1.0
OC=NN[PH]1=CC2=C(F)CC(Cl)=C2C1C(O)F,1.0
OC=NN[PH]1=CC2=C(F)C=C(Cl)C2C1OCF,1.0
OC=NN[PH]1=CC2=C(Cl)CC(F)=C2C1OCF,1.0
OC=NN[PH]1=CC2=C(Cl)CC(F)=C2C1COF,1.0
OC=NN[PH]1=CC2=C(Cl)CC(F)=C2C1C(O)F,1.0
OC=NN[PH]1=CC2=C(Cl)C=C(F)C2C1OCF,1.0
OC=NN[PH]1=CC2=C(Cl)C=C(F)C2C1COF,1.0
OC=NN[PH]1=CC2=C(Cl)C=C(F)C2C1C(O)F,1.0
OC=NN[PH]1=C=C=C(Cl)C=C(F)CC1COF,1.0
OC=NN[PH]1=C2C=C(F)CC(Cl)=C2C1OCF,1.0
OC=NN[PH]1=C2C=C(F)CC(Cl)=C2C1COF,1.0
OC=NN[PH]1=C2C=C(F)CC(Cl)=C2C1C(O)F,1.0
OC=NN[PH]1=C2C=C(F)C=C(Cl)C2C1OCF,1.0
OC=NNP=CC1=CC(F)=C(Cl)C1COCF,1.0
OC=NNP=CC1=CC(F)=C(Cl)C1CCOF,1.0
