smiles,deco-hop
c1nc(Nc2ccc3nnoc3c2)c2cc3c(cc2n1)OCOC31CCCC1,1.0
c1nc(Nc2ccc3nnoc3c2)c2cc3c(cc2n1)OC31CCCC1,1.0
c1nc(Nc2ccc3ncoc3c2)c2cc3c(cc2n1)OCOC31CCCC1,1.0
c1nc(Nc2ccc3ncoc3c2)c2cc3c(cc2n1)OCCSC31CCCC1,1.0
c1nc(Nc2ccc3ncoc3c2)c2cc3c(cc2n1)OCCOC31CCCC1,1.0
c1nc(Nc2ccc3ncoc3c2)c2cc3c(cc2n1)OC31CCCC1,1.0
c1nc(Nc2ccc3cnsc3c2)c2cc3c(cc2n1)OCOC31CCCC1,1.0
c1nc(Nc2ccc3cnoc3c2)c2cc3c(cc2n1)OCOC31CCCC1,1.0
c1nc(Nc2ccc3cnoc3c2)c2cc3c(cc2n1)OCCOC31CCCC1,1.0
c1nc(Nc2ccc3c(c2)N=S=N3)c2cc3c(cc2n1)OCOC31CCCC1,1.0
c1cnc2ccc(Nc3ncnc4cc5c(cc34)C3(CCCC3)OCO5)cc2c1,1.0
c1ccc2c(c1)c(Nc1ncnc3cc4c(cc13)C1(CCCC1)OCO4)cc1ocnc12,1.0
c1ccc(Cc2nc3ccc(Nc4ncnc5cc6c(cc45)C4(CCCC4)OCO6)cc3o2)cc1,1.0
c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)C3(CCCC3)OCO5)c2)nc1,1.0
c1cc(Nc2ncnc3cc4c(cc23)C2(CCCC2)OCO4)cc(-n2nccn2)c1,1.0
c1cc(Nc2ncnc3cc4c(cc23)C2(CCCC2)OCO4)cc(-c2nccs2)c1,1.0
c1cc(Nc2ncnc3cc4c(cc23)C2(CCCC2)OCO4)cc(-c2ncco2)c1,1.0
c1cc(Nc2ncnc3cc4c(cc23)C2(CCCC2)OCO4)cc(-c2cscn2)c1,1.0
c1cc(Nc2ncnc3cc4c(cc23)C2(CCCC2)OCO4)cc(-c2cocn2)c1,1.0
c1cc(Nc2ncnc3cc4c(cc23)C2(CCCC2)OCO4)cc(-c2ccon2)c1,1.0
c1cc(Nc2ncnc3cc4c(cc23)C2(CCCC2)OCO4)cc(-c2c[s+]sn2)c1,1.0
[O-][N+]1(c2cc3c(Nc4ccc5ncoc5c4)ncnc3cc2OCCCl)CCCC1,1.0
FC(F)(CCCCCl)c1cc2c(Nc3ccc4ncoc4c3)ncnc2cc1OCCC=CC=CC=CBr,1.0
Cn1ncc2ccc(Nc3ncnc4cc5c(cc34)C3(CCCC3)OCO5)cc21,1.0
Cn1cnc2ccc(Nc3ncnc4cc5c(cc34)C3(CCCC3)OCO5)cc21,1.0
Cn1cnc2ccc(Nc3ncnc4cc5c(cc34)C3(CCCC3)O5)cc21,1.0
Cn1cnc2cc(Br)c(Nc3ncnc4cc5c(cc34)C3(CCCC3)OCO5)cc21,1.0
Clc1cc2ncoc2cc1Nc1ncnc2cc3c(cc12)C1(CCCC1)OCO3,1.0
Clc1cc(Nc2ncnc3cc4c(cc23)C2(CCCC2)OCO4)cc2onnc12,1.0
Clc1cc(Nc2ncnc3cc4c(cc23)C2(CCCC2)OCO4)cc2ocnc12,1.0
Clc1cc(Nc2ncnc3cc4c(cc23)C2(CCCC2)O4)cc2ocnc12,1.0
ClCc1nc2ccc(Nc3ncnc4cc5c(cc34)C3(CCCC3)OCO5)cc2o1,1.0
