smiles,mestranol-similarity
[CH]c1ccc2c(c1)CCC1C2CCCC2(C)C1CCC2([O-])C#C,1.0
[CH]C12CCC3c4ccc([OH+][SH+][N-])cc4CCC3C1CCC2(O)C#C,1.0
[CH]C12CCC3c4ccc(CC)cc4CCC3C1CC2(O)C#C,1.0
[C-]#CC1(O)CCC2CC3c4ccc(OC)cc4CCC3CC21C,1.0
[C-]#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
[C-]#CC1(O)CCC2C3CCc4cc(F)ccc4C3CCC21C,1.0
[C-]#CC1(O)CCC2C3CCc4cc(C(C)=O)ccc4C3CCC21C,1.0
[C-]#CC1(O)CCC2C3CCCc4cc(OC)ccc4C3CCC21C,1.0
[C+]N[O+]OOc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#C,1.0
[C+]NOc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#C,1.0
COc1ccc2c(c1)CCCC1C2CCC2(C)C1CCC2(O)C#N,1.0
COc1ccc2c(c1)CCC1CC3(C)C(CCC3(O)C#N)CC21,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CC[N-]C2([O-])C#[SH],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CC[N-]C2([O-])C#[O+],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CC[N-]C2([O-])C#N,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CC[N-]C2(O)C#[SH],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CC[N-]C2(O)C#[O+],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CC[N-]C2(O)C#N,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCSC2([O-])C#[SH],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCSC2([O-])C#[O+],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCSC2([O-])C#N,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCSC2(O)C#[SH],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCSC2(O)C#[O+],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCSC2(O)C#N,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCOC2([O-])C#[SH],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCOC2([O-])C#[O+],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCOC2([O-])C#N,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCOC2(O)C#[SH],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCOC2(O)C#[O+],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCOC2(O)C#N,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCNC2([O-])C#[SH],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCNC2([O-])C#[O+],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCNC2([O-])C#P,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCNC2([O-])C#N,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCNC2(O)C#[SH],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCNC2(O)C#[O+],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCNC2(O)C#P,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCNC2(O)C#N,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCCC2([O-])C#[SH],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCCC2([O-])C#[O+],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCCC2([O-])C#N,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCCC2(O)C#[SH],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCCC2(O)C#[O+],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCCC2(O)C#N,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])[O-],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])S,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])P,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])O,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])F,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])Cl,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#[SH],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#[PH][O-],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#[PH]S,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#[PH]O,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#[PH]N,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#[PH]F,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#[PH]Cl,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#[PH]C,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#[PH]Br,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#[O+],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#P=N,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#P,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#N,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#C[O-],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#CCl,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])Br,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)S,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)P,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)O,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)F,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)Cl,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#[SH],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#[PH][O-],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#[PH]S,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#[PH]O,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#[PH]N,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#[PH]F,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#[PH]Cl,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#[PH]C,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#[PH]Br,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#[PH]=N,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#[O+],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#P=N,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#P,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#N,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#C[O-],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#CO,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#CI,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#CF,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#CCl,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)Br,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(N)[O-],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(N)O,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(C)[O-],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(C)O,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CC2([O-])C#[SH],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CC2([O-])C#[O+],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CC2([O-])C#N,1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CC2(O)C#[SH],1.0
COc1ccc2c(c1)CCC1C2CCC2(C)C1CC2(O)C#N,1.0
COc1ccc2c(c1)CC1CCC3(C)C(CCC3(O)C#N)C1C2,1.0
COOc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#[SH],1.0
COOc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#[O+],1.0
COOc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#P,1.0
COOc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#N,1.0
COOc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#[SH],1.0
COOc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#[O+],1.0
COOc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#P,1.0
COOc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#N,1.0
CCC12CCC3c4ccc(OC)cc4CCC3C1CC2([O-])C#[SH],1.0
CCC12CCC3c4ccc(OC)cc4CCC3C1CC2([O-])C#[O+],1.0
CCC12CCC3c4ccc(OC)cc4CCC3C1CC2([O-])C#N,1.0
CCC12CCC3c4ccc(OC)cc4CCC3C1CC2(O)C#[SH],1.0
CCC12CCC3c4ccc(OC)cc4CCC3C1CC2(O)C#N,1.0
CC#CC1([O-])CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
CC#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C=P#CC1([O-])CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C=P#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#SC1([O-])CCCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#SC1([O-])CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#SC1(O)CCCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#SC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#SC1(C#[SH])CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#SC1(C#N)CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#S#CC12CCC3c4ccc(OC)cc4CCC3C1CCC2(C)[O-],1.0
C#S#CC12CCC3c4ccc(OC)cc4CCC3C1CCC2(C)O,1.0
C#C[SH]Oc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#C,1.0
C#C[SH]1CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#C[PH]#CC1([O-])CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#C[PH]#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#C[C+]1(O)CCC2C3CCc4cc(O[Si](C)[I+]C)ccc4C3CCC21C,1.0
C#C[C+]1(O)CCC2C3CCc4cc(OC[IH])ccc4C3CCC21C,1.0
C#CSOc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#C,1.0
C#CSOc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#C,1.0
C#CSC12CCC3c4ccc(OC)cc4CCC3C1CCC2(C)[O-],1.0
C#CSC12CCC3c4ccc(OC)cc4CCC3C1CCC2(C)O,1.0
C#CSC1([O-])CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#CSC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#C,1.0
C#COc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#C,1.0
C#COOc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#C,1.0
C#COOc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#C,1.0
C#COC12CCC3c4ccc(OC)cc4CCC3C1CCC2(C)O,1.0
C#COC1([O-])CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#COC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#CNOc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#C,1.0
C#CNOc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#C,1.0
C#CNC12CCC3c4ccc(OC)cc4CCC3C1CCC2(C)[O-],1.0
C#CNC1([O-])CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#CNC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#CN1CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#CCOc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2([O-])C#C,1.0
C#CCOc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C#C,1.0
C#CCC12CCC3c4ccc(OC)cc4CCC3C1CC2([O-])F,1.0
C#CCC12CCC3c4ccc(OC)cc4CCC3C1CC2([O-])C#C,1.0
C#CCC1([O-])CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#CCC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#CCC1(O)CC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#CC1CCC2C3CCc4cc(OC)ccc4C3CCC12C,1.0
C#CC12CCC3c4ccc(OC)cc4CCC3C1CCC2(C)[O-],1.0
C#CC12CCC3c4ccc(OC)cc4CCC3C1CCC2(C)O,1.0
C#CC12CCC3c4ccc(OC)cc4CCC3C1CC2(C)[O-],1.0
C#CC12CCC3c4ccc(OC)cc4CCC3C1CC2(C)O,1.0
C#CC1([O-])[N-]CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#CC1([O-])SCCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#CC1([O-])SCC2C3CCc4cc(OOC)ccc4C3CCC21C,1.0
C#CC1([O-])OCCC2C3CCc4cc(O[O-])ccc4C3CCC21C,1.0
C#CC1([O-])OCCC2C3CCc4cc(OS)ccc4C3CCC21C,1.0
C#CC1([O-])OCCC2C3CCc4cc(OP)ccc4C3CCC21C,1.0
C#CC1([O-])OCCC2C3CCc4cc(OOC)ccc4C3CCC21C,1.0
C#CC1([O-])OCCC2C3CCc4cc(OO)ccc4C3CCC21C,1.0
C#CC1([O-])OCCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#CC1([O-])OCCC2C3CCc4cc(C)ccc4C3CCC21C,1.0
C#CC1([O-])NCCC2C3CCc4cc(OOC)ccc4C3CCC21C,1.0
C#CC1([O-])NCCC2C3CCc4cc(OO)ccc4C3CCC21C,1.0
C#CC1([O-])NCCC2C3CCc4cc(OCl)ccc4C3CCC21C,1.0
C#CC1([O-])NCCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#CC1([O-])CSCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#CC1([O-])CCCC2C3CSc4cc(OC)ccc4C3CCC21C,1.0
C#CC1([O-])CCCC2C3CCc4cc(O[O-])ccc4C3CCC21C,1.0
C#CC1([O-])CCCC2C3CCc4cc(OSC)ccc4C3CCC21C,1.0
C#CC1([O-])CCCC2C3CCc4cc(OS)ccc4C3CCC21C,1.0
C#CC1([O-])CCCC2C3CCc4cc(OOC)ccc4C3CCC21C,1.0
C#CC1([O-])CCCC2C3CCc4cc(OO)ccc4C3CCC21C,1.0
C#CC1([O-])CCCC2C3CCc4cc(OCl)ccc4C3CCC21C,1.0
C#CC1([O-])CCCC2C3CCc4cc(OCS)ccc4C3CCC21C,1.0
C#CC1([O-])CCCC2C3CCc4cc(OCOC)ccc4C3CCC21C,1.0
C#CC1([O-])CCCC2C3CCc4cc(OCO)ccc4C3CCC21C,1.0
C#CC1([O-])CCCC2C3CCc4cc(OCN)ccc4C3CCC21C,1.0
C#CC1([O-])CCCC2C3CCc4cc(OCCl)ccc4C3CCC21C,1.0
C#CC1([O-])CCCC2C3CCc4cc(OCC)ccc4C3CCC21C,1.0
C#CC1([O-])CCCC2C3CCc4cc(OC)ccc4C3CCC21[O-],1.0
C#CC1([O-])CCCC2C3CCc4cc(OC)ccc4C3CCC21SC,1.0
C#CC1([O-])CCCC2C3CCc4cc(OC)ccc4C3CCC21S,1.0
C#CC1([O-])CCCC2C3CCc4cc(OC)ccc4C3CCC21OC,1.0
C#CC1([O-])CCCC2C3CCc4cc(OC)ccc4C3CCC21N,1.0
C#CC1([O-])CCCC2C3CCc4cc(OC)ccc4C3CCC21CC,1.0
C#CC1([O-])CCCC2C3CCc4cc(OC)ccc4C3CCC21C,1.0
C#CC1([O-])CCCC2C3CCc4cc(OC)ccc4C3CCC21Br,1.0
C#CC1([O-])CCCC2C3CCc4cc(OC)ccc4C3C(N)CC21C,1.0
C#CC1([O-])CCCC2C3CCc4cc(COC)ccc4C3CCC21C,1.0
C#CC1([O-])CCCC2C3CCc4cc(C)ccc4C3CCC21C,1.0
C#CC1([O-])CCC2C3CCc4ccc(OOC)cc4C3CCC21C,1.0
C#CC1([O-])CCC2C3CCc4ccc(OC)cc4C3CCC21C,1.0
C#CC1([O-])CCC2C3CCc4cc([OH+][S+](C)C)ccc4C3CCC21C,1.0
C#CC1([O-])CCC2C3CCc4cc([O-])ccc4C3CCC21C,1.0
C#CC1([O-])CCC2C3CCc4cc([N-]OOC)ccc4C3CCC21C,1.0
C#CC1([O-])CCC2C3CCc4cc([N-]OC)ccc4C3CCC21C,1.0
C#CC1([O-])CCC2C3CCc4cc([IH]OC)ccc4C3CCC21C,1.0
C#CC1([O-])CCC2C3CCc4cc(SOC)ccc4C3CCC21C,1.0
C#CC1([O-])CCC2C3CCc4cc(SC)ccc4C3CCC21C,1.0
C#CC1([O-])CCC2C3CCc4cc(S)ccc4C3CCC21C,1.0
C#CC1([O-])CCC2C3CCc4cc(P)ccc4C3CCC21C,1.0
C#CC1([O-])CCC2C3CCc4cc(O[Si][I+][Si])ccc4C3CCC21C,1.0
C#CC1([O-])CCC2C3CCc4cc(O[Si]=[SH][Si-])ccc4C3CCC21C,1.0
C#CC1([O-])CCC2C3CCc4cc(O[Si](O)[I+])ccc4C3CCC21C,1.0
C#CC1([O-])CCC2C3CCc4cc(O[SiH](C)CP)ccc4C3CCC21C,1.0
C#CC1([O-])CCC2C3CCc4cc(O[SiH](C)=N)ccc4C3CCC21C,1.0
C#CC1([O-])CCC2C3CCc4cc(O[SiH](C)([PH])Cl)ccc4C3CCC21C,1.0
C#CC1([O-])CCC2C3CCc4cc(O[SiH](C)([NH])Br)ccc4C3CCC21C,1.0
